"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","E1","26-Aug-2019","         34.90","         35.25","         36.70","         34.05","         35.95","         35.90","         35.21","     213382","             7512238.70","       2065","     100024","         46.88"
"TATASTEEL","EQ","26-Aug-2019","        345.25","        346.40","        347.60","        322.20","        338.00","        338.05","        332.49","   23764999","          7901742904.40","     221995","    2107258","          8.87"
"TATASTEEL","E1","27-Aug-2019","         35.90","         36.80","         37.40","         35.85","         36.60","         36.50","         36.70","     175482","             6440063.05","       1460","     120317","         68.56"
"TATASTEEL","EQ","27-Aug-2019","        338.05","        340.95","        354.70","        340.15","        351.85","        350.90","        349.53","   17375296","          6073123437.75","     181088","    3820125","         21.99"
"TATASTEEL","E1","28-Aug-2019","         36.50","         36.55","         37.00","         35.00","         35.25","         35.35","         35.54","      75409","             2679742.00","        954","      47835","         63.43"
"TATASTEEL","EQ","28-Aug-2019","        350.90","        350.90","        350.90","        333.40","        335.85","        336.95","        340.71","   12641716","          4307126517.70","     124884","    1663311","         13.16"
"TATASTEEL","E1","29-Aug-2019","         35.35","         35.00","         35.50","         34.45","         34.60","         34.70","         34.87","     100750","             3512739.60","        969","      47319","         46.97"
"TATASTEEL","EQ","29-Aug-2019","        336.95","        334.00","        342.65","        328.60","        337.35","        335.55","        334.95","   13481310","          4515599669.65","     131299","    1103450","          8.19"
"TATASTEEL","E1","30-Aug-2019","         34.70","         36.00","         36.00","         34.00","         34.50","         34.35","         34.62","      99609","             3448695.35","       1056","      62448","         62.69"
"TATASTEEL","EQ","30-Aug-2019","        335.55","        342.00","        347.50","        337.20","        346.70","        344.90","        342.68","   17972207","          6158668366.15","     178345","    2095468","         11.66"
"TATASTEEL","E1","03-Sep-2019","         34.35","         33.75","         34.10","         33.15","         33.45","         33.55","         33.59","      68311","             2294865.30","        730","      38201","         55.92"
"TATASTEEL","EQ","03-Sep-2019","        344.90","        341.00","        341.15","        329.00","        329.30","        331.40","        334.92","    9220653","          3088217935.35","      85604","    1160196","         12.58"
"TATASTEEL","E1","04-Sep-2019","         33.55","         33.20","         34.15","         32.60","         34.15","         33.85","         33.56","      96389","             3234701.20","        888","      59107","         61.32"
"TATASTEEL","EQ","04-Sep-2019","        331.40","        331.40","        340.95","        327.30","        340.95","        339.25","        334.14","   12904710","          4311937508.40","     114972","     951629","          7.37"
"TATASTEEL","E1","05-Sep-2019","         33.85","         34.75","         35.90","         34.00","         35.20","         35.05","         34.85","     109783","             3826267.55","        962","      45492","         41.44"
"TATASTEEL","EQ","05-Sep-2019","        339.25","        346.00","        352.00","        342.25","        344.55","        345.15","        347.17","   14250885","          4947431383.00","     131341","     967257","          6.79"
